Start Time, Mon Feb 23 13:49:17 GMT+0000 2026
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 271945.569719
Real Time (s), 271983.791289
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
677, 677, 2378
678, 678, 2501
679, 679, 2415
680, 680, 2286
681, 681, 2223
682, 682, 2339
683, 683, 2324
684, 684, 2317
685, 685, 2366
686, 686, 2310
687, 687, 2299
688, 688, 2275
689, 689, 2293
690, 690, 2347
691, 691, 2291
692, 692, 2317
693, 693, 2252
694, 694, 2333
695, 695, 2225
696, 696, 2314
697, 697, 2270
698, 698, 2366
699, 699, 2198
700, 700, 2229
701, 701, 2200
702, 702, 2324
703, 703, 2171
704, 704, 2296
705, 705, 2176
706, 706, 2234
707, 707, 2258
708, 708, 2193
709, 709, 2199
710, 710, 2184
711, 711, 2161
712, 712, 2207
713, 713, 2115
714, 714, 2174
715, 715, 2131
716, 716, 2117
717, 717, 2070
718, 718, 2084
719, 719, 2042
720, 720, 2144
721, 721, 2132
722, 722, 2115
723, 723, 2112
724, 724, 2072
725, 725, 1979
726, 726, 2085
727, 727, 2035
728, 728, 2161
729, 729, 2026
730, 730, 2007
731, 731, 1979
732, 732, 2017
733, 733, 2047
734, 734, 2113
735, 735, 1998
736, 736, 2036
737, 737, 1951
738, 738, 2060
739, 739, 2003
740, 740, 2009
741, 741, 1993
742, 742, 1950
743, 743, 1881
744, 744, 1993
745, 745, 2024
746, 746, 1937
747, 747, 1915
748, 748, 2041
749, 749, 1950
750, 750, 1985
751, 751, 1945
752, 752, 2033
753, 753, 2008
754, 754, 2019
755, 755, 1985
756, 756, 1934
757, 757, 2069
758, 758, 1908
759, 759, 2011
760, 760, 1994
761, 761, 1990
762, 762, 1962
763, 763, 1966
764, 764, 1946
765, 765, 2008
766, 766, 1930
767, 767, 1926
768, 768, 1951
769, 769, 2005
770, 770, 1984
771, 771, 1981
772, 772, 1961
773, 773, 1966
774, 774, 1999
775, 775, 2038
776, 776, 2044
777, 777, 1939
778, 778, 2051
779, 779, 1977
780, 780, 1980
781, 781, 1961
782, 782, 2031
783, 783, 2033
784, 784, 1918
785, 785, 1950
786, 786, 1950
787, 787, 1933
788, 788, 2068
789, 789, 1991
790, 790, 1995
791, 791, 1921
792, 792, 1999
793, 793, 2003
794, 794, 2043
795, 795, 1891
796, 796, 1897
797, 797, 2045
798, 798, 2022
799, 799, 1941
800, 800, 1906
801, 801, 2012
802, 802, 1959
803, 803, 1901
804, 804, 1996
805, 805, 1967
806, 806, 1997
807, 807, 1987
808, 808, 1996
809, 809, 1993
810, 810, 1942
811, 811, 2021
812, 812, 1980
813, 813, 1882
814, 814, 1921
815, 815, 2011
816, 816, 1935
817, 817, 1896
818, 818, 1964
819, 819, 1947
820, 820, 1984
821, 821, 1971
822, 822, 1984
823, 823, 1980
824, 824, 1974
825, 825, 1937
826, 826, 1902
827, 827, 1946
828, 828, 1924
829, 829, 1952
830, 830, 1899
831, 831, 1950
832, 832, 1959
833, 833, 1905
834, 834, 1858
835, 835, 1889
836, 836, 1950
837, 837, 1905
838, 838, 1893
839, 839, 1881
840, 840, 1925
841, 841, 1827
842, 842, 1864
843, 843, 1851
