Start Time, Wed Mar 4 16:11:53 GMT+0000 2026
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 80648.034719
Real Time (s), 80657.664186
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
835, 835, 512
836, 836, 510
837, 837, 482
838, 838, 508
839, 839, 488
840, 840, 541
841, 841, 493
842, 842, 485
843, 843, 473
844, 844, 488
845, 845, 459
846, 846, 508
847, 847, 435
848, 848, 466
849, 849, 495
850, 850, 483
851, 851, 493
852, 852, 465
853, 853, 520
854, 854, 485
855, 855, 520
856, 856, 479
857, 857, 455
858, 858, 498
859, 859, 443
860, 860, 458
861, 861, 465
862, 862, 459
863, 863, 519
864, 864, 481
865, 865, 493
866, 866, 462
867, 867, 473
868, 868, 448
869, 869, 468
870, 870, 457
871, 871, 474
872, 872, 500
873, 873, 483
874, 874, 473
875, 875, 463
876, 876, 447
877, 877, 446
878, 878, 459
879, 879, 466
880, 880, 441
881, 881, 490
882, 882, 469
883, 883, 476
884, 884, 479
885, 885, 465
886, 886, 436
887, 887, 428
888, 888, 478
889, 889, 495
890, 890, 473
891, 891, 460
892, 892, 436
893, 893, 458
894, 894, 474
895, 895, 486
896, 896, 484
897, 897, 494
898, 898, 454
899, 899, 495
900, 900, 487
901, 901, 467
902, 902, 449
903, 903, 481
904, 904, 443
905, 905, 468
906, 906, 461
907, 907, 482
908, 908, 448
909, 909, 466
910, 910, 430
911, 911, 457
912, 912, 439
913, 913, 441
914, 914, 448
915, 915, 483
916, 916, 436
917, 917, 455
918, 918, 447
919, 919, 440
920, 920, 482
921, 921, 491
922, 922, 456
923, 923, 467
924, 924, 446
925, 925, 460
926, 926, 455
927, 927, 435
928, 928, 464
929, 929, 449
930, 930, 518
931, 931, 487
932, 932, 429
933, 933, 462
934, 934, 471
935, 935, 440
936, 936, 438
937, 937, 443
938, 938, 456
939, 939, 463
940, 940, 463
941, 941, 494
942, 942, 498
943, 943, 513
944, 944, 427
945, 945, 454
946, 946, 455
947, 947, 446
948, 948, 470
949, 949, 472
950, 950, 486
951, 951, 465
952, 952, 470
953, 953, 453
954, 954, 451
955, 955, 459
956, 956, 437
957, 957, 448
958, 958, 473
959, 959, 444
960, 960, 482
961, 961, 469
962, 962, 416
963, 963, 474
964, 964, 449
965, 965, 456
966, 966, 484
967, 967, 438
968, 968, 446
969, 969, 459
970, 970, 434
971, 971, 458
972, 972, 479
973, 973, 476
974, 974, 517
975, 975, 477
976, 976, 429
977, 977, 447
978, 978, 419
979, 979, 469
980, 980, 480
981, 981, 454
982, 982, 500
983, 983, 465
984, 984, 483
985, 985, 458
986, 986, 451
987, 987, 467
988, 988, 457
989, 989, 431
990, 990, 446
991, 991, 431
992, 992, 437
993, 993, 446
994, 994, 434
995, 995, 453
996, 996, 407
997, 997, 432
998, 998, 470
999, 999, 440
1000, 1000, 446
1001, 1001, 451
1002, 1002, 473
1003, 1003, 441
1004, 1004, 465
1005, 1005, 465
1006, 1006, 421
1007, 1007, 461
1008, 1008, 470
1009, 1009, 477
1010, 1010, 467
1011, 1011, 455
1012, 1012, 476
1013, 1013, 426
1014, 1014, 485
1015, 1015, 446
1016, 1016, 415
1017, 1017, 434
1018, 1018, 438
1019, 1019, 451
1020, 1020, 478
1021, 1021, 414
1022, 1022, 447
1023, 1023, 480
1024, 1024, 464
1025, 1025, 489
1026, 1026, 443
1027, 1027, 456
1028, 1028, 421
1029, 1029, 468
1030, 1030, 421
1031, 1031, 442
1032, 1032, 431
1033, 1033, 449
1034, 1034, 487
1035, 1035, 483
1036, 1036, 481
1037, 1037, 402
1038, 1038, 441
1039, 1039, 431
1040, 1040, 450
1041, 1041, 436
1042, 1042, 432
1043, 1043, 405
1044, 1044, 422
1045, 1045, 451
1046, 1046, 438
1047, 1047, 428
1048, 1048, 489
1049, 1049, 415
1050, 1050, 431
1051, 1051, 422
1052, 1052, 425
1053, 1053, 439
1054, 1054, 454
1055, 1055, 442
1056, 1056, 432
1057, 1057, 443
1058, 1058, 524
1059, 1059, 448
1060, 1060, 475
1061, 1061, 441
1062, 1062, 478
1063, 1063, 446
1064, 1064, 421
1065, 1065, 448
1066, 1066, 465
1067, 1067, 486
1068, 1068, 418
1069, 1069, 442
1070, 1070, 457
1071, 1071, 448
1072, 1072, 437
1073, 1073, 439
1074, 1074, 430
1075, 1075, 474
1076, 1076, 477
1077, 1077, 456
1078, 1078, 478
1079, 1079, 434
1080, 1080, 438
1081, 1081, 483
1082, 1082, 463
1083, 1083, 414
1084, 1084, 462
1085, 1085, 456
1086, 1086, 434
1087, 1087, 431
1088, 1088, 445
1089, 1089, 456
1090, 1090, 441
1091, 1091, 427
1092, 1092, 446
1093, 1093, 446
1094, 1094, 430
1095, 1095, 452
1096, 1096, 446
1097, 1097, 504
1098, 1098, 449
1099, 1099, 440
1100, 1100, 496
1101, 1101, 435
1102, 1102, 452
1103, 1103, 465
1104, 1104, 440
1105, 1105, 455
1106, 1106, 441
1107, 1107, 471
1108, 1108, 459
1109, 1109, 469
1110, 1110, 465
1111, 1111, 440
1112, 1112, 482
1113, 1113, 461
1114, 1114, 411
1115, 1115, 447
1116, 1116, 463
1117, 1117, 460
1118, 1118, 470
1119, 1119, 417
1120, 1120, 446
1121, 1121, 452
1122, 1122, 453
1123, 1123, 478
1124, 1124, 466
1125, 1125, 450
1126, 1126, 422
1127, 1127, 491
1128, 1128, 460
1129, 1129, 450
1130, 1130, 434
1131, 1131, 452
1132, 1132, 456
1133, 1133, 409
1134, 1134, 459
1135, 1135, 453
1136, 1136, 465
1137, 1137, 436
1138, 1138, 407
1139, 1139, 429
1140, 1140, 442
1141, 1141, 459
1142, 1142, 447
1143, 1143, 433
1144, 1144, 409
1145, 1145, 466
1146, 1146, 457
1147, 1147, 495
1148, 1148, 426
1149, 1149, 420
1150, 1150, 484
1151, 1151, 478
1152, 1152, 476
1153, 1153, 470
1154, 1154, 451
1155, 1155, 446
1156, 1156, 459
1157, 1157, 437
1158, 1158, 461
1159, 1159, 456
1160, 1160, 457
1161, 1161, 498
1162, 1162, 492
1163, 1163, 437
1164, 1164, 468
1165, 1165, 463
1166, 1166, 458
1167, 1167, 453
1168, 1168, 457
1169, 1169, 475
1170, 1170, 471
1171, 1171, 453
1172, 1172, 474
1173, 1173, 450
1174, 1174, 410
1175, 1175, 401
1176, 1176, 420
1177, 1177, 432
1178, 1178, 437
1179, 1179, 476
1180, 1180, 428
1181, 1181, 406
1182, 1182, 451
1183, 1183, 478
1184, 1184, 428
1185, 1185, 421
1186, 1186, 431
1187, 1187, 466
1188, 1188, 406
1189, 1189, 418
1190, 1190, 454
1191, 1191, 402
1192, 1192, 442
1193, 1193, 480
1194, 1194, 444
1195, 1195, 446
1196, 1196, 462
1197, 1197, 446
1198, 1198, 390
1199, 1199, 429
1200, 1200, 452
1201, 1201, 393
1202, 1202, 414
1203, 1203, 428
1204, 1204, 471
1205, 1205, 440
1206, 1206, 400
1207, 1207, 443
1208, 1208, 389
1209, 1209, 411
1210, 1210, 381
1211, 1211, 449
1212, 1212, 403
1213, 1213, 395
1214, 1214, 416
1215, 1215, 430
1216, 1216, 406
1217, 1217, 383
1218, 1218, 438
1219, 1219, 392
1220, 1220, 412
1221, 1221, 357
1222, 1222, 405
1223, 1223, 425
1224, 1224, 379
1225, 1225, 359
1226, 1226, 368
1227, 1227, 399
1228, 1228, 388
1229, 1229, 351
1230, 1230, 400
1231, 1231, 367
